"NodeID";"NodeID";"NodeID";"TO Stop Key";"Successor";"Stage Type";"Stage Category";"Error on Node Instance";"Decimal Value";"Duration";"Means of Transport";"Transportation Mode";"Transportation Mode Category";"Not Relevant for Planning";"Relevant for ADR DG Exemption";"No ADR Exemption";"Planning Block";"Execution Block";"Predecessor Doc. Block";"Predecessor Doc. Block";"Shipping Type";"MTr from Transportation Proposal";"Carrier Party BP GUID";"Carrier";"SCAC";"Airline Code";"AWB Prefix";"Transportation Mode";"Transportation Mode Category";"Preferred Equipment Group";"Preferred Equipment Type";"Plan. and Exec. Org.";"Plan. and Exec. Group";"Agrmt Prtnr Function";"Role Code of Other Agreement Party";"Voyage";"Airline Code/Flight Number";"Vessel";"IMO Ship Identification Number";"Country/Region Key";"Schedule Key";"Aircraft Type";"Flight Number";"Space Allocation Action Code";"Space Allocation Advice Code";"Origin of Entry";"Allotment ID";"Successor Category of Stop";"Order Relationship";"Person Responsible";"Planning Status";"Organization Interaction Status";"Org. Interaction Requested By";"Rejection Reason Code";"Customs Activity";"Business Partner";"Invoicing Carrier";"SCAC";"Stage Invoicing Carrier Level";"Agreement";"Agreement Item No.";"NodeID";"NodeID";"Bill-To Party";"Bill-To Party";"External Reference Number";"Company Code Paying the Trp. Service";"Company Org. Paying the Trp. Service";"External Planning Relevance";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Driver Assignment Status";"Calculated CO₂ Emissions";"Calculated CO₂ Emissions UoM";"Allocation Method for CO₂ Emissions";"Dummy function in length 1";"Lenkzeitpause";"Data Aging Filter";
"005056AB7BFC1FD0AFCFBD935F2DBA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2D7A14";"005056AB7BFC1FD0AFCFBD935F2D9A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2DDA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2D5A14";"005056AB7BFC1FD0AFCFBD935F2D7A14";"10";"";"";"";"36.349838";"0:24";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"225.00";"97.54";"225.00";"0";"0";"N";"9.76088807768421";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2E3A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2DFA14";"005056AB7BFC1FD0AFCFBD935F2E1A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2E5A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2D9A14";"005056AB7BFC1FD0AFCFBD935F2DFA14";"20";"";"";"";"0.278720";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"203.00";"89.56";"203.00";"0";"0";"N";"0.07350873263158";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2EBA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2E7A14";"005056AB7BFC1FD0AFCFBD935F2E9A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2EDA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2E1A14";"005056AB7BFC1FD0AFCFBD935F2E7A14";"30";"";"";"";"0.542375";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"197.00";"85.88";"197.00";"0";"0";"N";"0.14184533552632";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2F3A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2EFA14";"005056AB7BFC1FD0AFCFBD935F2F1A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2F5A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2E9A14";"005056AB7BFC1FD0AFCFBD935F2EFA14";"40";"";"";"";"0.602846";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"189.00";"82.28";"189.00";"0";"0";"N";"0.15635921515789";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2FBA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2F7A14";"005056AB7BFC1FD0AFCFBD935F2F9A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F2FDA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2F1A14";"005056AB7BFC1FD0AFCFBD935F2F7A14";"50";"";"";"";"3.413870";"0:02";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"161.00";"74.21";"161.00";"0";"0";"N";"0.86891975368421";"KG";"DIST_WT";"";"";"";
