KEY;PARENT_KEY;Item;Transportation Order Item Type;Multi-Item;TO Item Key;Error on Node Instance;TO Stop Key;TO Stop Key;Sorting ID of Business Document Item;Item Description;Item Category;Main Cargo Item;Address ID;Shipper;Shipper BP GUID;Address ID;Ship-to Party;Ship-to Party BuPA GUID;Gross Weight;Gross Weight UoM;Gross Volume;Gross Volume UoM;Net Weight;Net Weight UoM;Quantity;Quantity UoM;Alternative Quantity;Alternative Quantity UoM;Base Quantity;Base Unit of Measure;Tare Weight;Tare Weight UoM;Number of TEUs;Number of TEU UoM;ADR 1.1.3.6 DG Exemption Points;ADR 1.1.3.6 DG Exemption Points UoM;Recorded Quantities;Confirmed Gross Weight;Confirmed Gross Weight UoM;Confirmed Gross Volume;Confirmed Gross Volume UoM;Confirmed Quantity;Confirmed Quantity UoM;Confirmed Alternative Quantity;Confirmed Alternative Quantity UoM;Confirmed Number of TEU;Confirmed Number of TEU UoM;Length;Width;Height;Unit of Measure;Overdimensional Cargo;Goods Value;Goods Value Currency;Insurable Value;Insurable Value Currency;Goods Value for Customs;Goods Value for Customs Currency;High-Value Cargo;Dangerous Goods;Dangerous Goods Check Error;Doc.-Based DG Data;No ADR Exemption;Package ID;Packaging Mat. Type;Non-Stackable Packages;Packaging Code;External Package ID;Origin of Package ID;Packaging Material Category;Product;Product GUID;Material Freight Grp;Transportation Group;DG indicator profile;Service Type;Freight Agreement Key;Freight Agreement Item Key;Freight Agreement Services Key;Service Level (Sales);Business Transaction Priority Code;Transportation Mode;Transportation Mode Category;Plant;Company Organization;Company Code;Loading/Unloading Point;Storage Location;Goods Movement Status;Goods Movement Processing;Handling Unit Key (Handle);Shipper's Load and Count;Min. Temperature;Max. Temperature;Temperature UoM;Air Humidity in %;Leading Item Key;Damaged Item;Relevant for cost distribution;Warehouse Processing Status;Dangerous Goods Status;Indicator of Legal Control License;GUID 16;Value Chain Category;Unified Package Building Profile;Unified Package Building Engine;Unified Package Building Rule;Load Consumption Quantity;Load Consumption Quantity UoM;Normalized Quantity;Normalized Quantity UoM;Source Location;Location;IATA Code (Source Location);UN/LOCODE (Source Location);Pick-Up (From);Pick-Up (To);Earliest Pick-Up;Latest Pick-Up;Destination Location;Location;IATA Code (Destination Loc.);UN/LOCODE (Destination Location);Unloading Point;Delivery (From);Delivery (To);Earliest Delivery;Latest Delivery;Pick-Up/Delivery Window Specification;Cost Pull;Handling Execution Status on Item Level;Cargo Execution Status on Item Level;Cargo Receipt Status;Transm.-to-EWM Status on Item Level;Transm.-to-EWM Status on Item Level;Load Plan Status on Item Level;Unload Plan Status on Item Level;Load Plan Item Status on Item Level;Unload Plan Item Status on Item Level;Origin of Entry;Origin of Entry;Doc. Itm Comparison Status;Occurrence of Quantity Discrepancy;Discrepancy;No Block;Incoterm;Incoterm Location (Free Text);Incoterm Location;Incoterm Location;Incoterm Key;NodeID;NodeID;BO Short Name;Item Is Local;TO Stop Key;TO Stop Key;NodeID;NodeID;BO Short Name;NodeID;Transportation Order Key;Capacity Item Definition for Ref. Item;Deviating Commodity Codes;Document;Item;NoG Defined Locally;NodeID;Category;Item Category;NodeID;NodeID;Qty of Sales Unit;UoM of Sales Unit;Freight Unit Quantity Fixed;Original Sales Quantity;UoM of Original Sales Qty;Integration Based on Actual Quantity;Original Business Document Type;Base Business Transaction Document;Base Document Version;Base Business Transaction Document Key;Logical System (Sending System);Base Business Transaction Doc. Item Key;Base Doc. Item Type for Bus. Transaction;Base Doc. Item for Business Transaction;Base Document Date;Bus. Trans. Document Processing Type;Base Doc. Item for Business Transaction;Base Doc. Item Type for Bus. Transaction;Hier. Rel.shp Type Code;Country/Region;Region Code;Sales Organization;Sales Office;Sales Group;Buyer Origin Doc. f. Business Transac.;Ordering Date;Buyer Doc. Item f. Business Transac.;Origin Business Transaction Document TCO;Origin Business Transaction Document;Origin Business Trans. Doc. Item TCO;Origin Business Transaction Doc. Item;House Bill of Lading;Waybill Number Status;Reference to Shipment Item;Tracking Number;Execution Tracking Relevance;Registration No.;Relevant for Resource Time Check;Multiresource;Ctry/Reg-Specific Vehicle Identification;Means of Transport;Country/Region Key;Length;Unit of Measure;Tare Weight;Tare Weight UoM;Max. Payload Weight;Payload Weight UoM;Max. Payload Volume;Payload Volume UoM;Schedule GUID (029) with Conversion Exit;Date/Time;Voyage;Airline Code/Flight Number;Vessel;IMO Ship Identification Number;Booking Confirmation Status;Flight Number;Gross Weight;Gross Weight UoM;Gross Volume;Gross Volume UoM;Net Weight;Net Weight UoM;Quantity;Quantity UoM;Alternative Quantity;Alternative Quantity UoM;Base Quantity;Base Unit of Measure;Tare Weight;Tare Weight UoM;Number of TEUs;Number of TEU UoM;ADR 1.1.3.6 DG Exemption Points;ADR 1.1.3.6 DG Exemption Points UoM;Length;Width;Height;Unit of Measure;Normalized Quantity;Normalized Quantity UoM;Equipment Type;Equipment Group;Shipper-Owned Container;Empty Provisioning;Empty Return;Organized by Sold-to Party;Ventilation Setting;Air Exchange Rate;Air Exchange UoM;Consolidation Container;Reference to Booking Capacity Req Item;Sequence Number;Compartment Type;Rate Class;ULD Rate Type;ULD Loading Instructions;Pivot Weight;Pivot Weight UoM;Resource Class;Owning Org. Unit;Transportation Planning Date;Transportation Planning Date;Transportation Planning Date;Transportation Planning Date;UUID Internal;ERP Delivery;ERP Delivery Item;Included Packages;Item Split;Mixed ULD;Update Propagation Control;Service Product;Dummy function in length 1;Bearbeitung am Stopp;Klarname der Unterschrift;unloading point id;19 Characters;NodeID;Product;Item Description;TO Stop Key;LHM kostenpflichtig;Stackability;Lagerplatz;Shipping Type;Pin-Nr.;Turn-In Referenz;Location;Location Description;Street;House Number;City;Postal Code;Country/Region;Street+No.;Density Factor;Package Slot ID;Orientation;Position X;Position Y;Position Z;Row;Stack;Level;Split Deck;Loading Sequence;Logical System (EWM Target System);Warehouse Number;Warehouse Category;Warehouse Door;Logical System (EWM Target System);Warehouse Number;Warehouse Category;Warehouse Door;Loading/Unloading Point;UUID Internal;Resource;Resource Sequence Number;TRUE;Origin of Resource;Maximum Top Load;Maximum Top Load Unit of Measure;Fixing Status of Requirement Assignment;Tare Volume;Tare Volume UoM;Outer Volume;Outer Volume UoM;Closed Packaging Material;Data Aging Filter,
005056AB7BFC1FD0B08E9D222B217A15;005056AB7BFC1FD0B08E9D222B215A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B219A15;005056AB7BFC1FD0B08E9D222B24BA15;1;;AVR;;;;;;;;3.186;KG;9;M3;386;KG;84;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B217A15;005056AB7BFC1FD0B08E9D222B215A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP001;1;HB-FT-035;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07561CEC2FA14;HBESP001;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B251A15;005056AB7BFC1FD0B08E9D222B24FA15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B253A15;005056AB7BFC1FD0B08E9D222B28DA15;1;;AVR;;;;;;;;3.328;KG;10;M3;528;KG;124;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B251A15;005056AB7BFC1FD0B08E9D222B24FA15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP001;1;HB-FT-035;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07561CEC2FA14;HBESP001;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B293A15;005056AB7BFC1FD0B08E9D222B291A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B295A15;005056AB7BFC1FD0B08E9D222B2CFA15;1;;AVR;;;;;;;;3.298;KG;09. Jul;M3;498;KG;118;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B293A15;005056AB7BFC1FD0B08E9D222B291A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP001;1;HB-FT-035;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07561CEC2FA14;HBESP001;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B2D5A15;005056AB7BFC1FD0B08E9D222B2D3A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B2D7A15;005056AB7BFC1FD0B08E9D222B301A15;1;;AVR;;;;;;;;3.252;KG;09. Sep;M3;452;KG;79;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B2D5A15;005056AB7BFC1FD0B08E9D222B2D3A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP001;1;HB-FT-035;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07561CEC2FA14;HBESP001;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B307A15;005056AB7BFC1FD0B08E9D222B305A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B309A15;005056AB7BFC1FD0B08E9D222B333A15;1;;AVR;;;;;;;;3.054;KG;08. Jun;M3;254;KG;78;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B307A15;005056AB7BFC1FD0B08E9D222B305A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP001;1;HB-FT-035;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07561CEC2FA14;HBESP001;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B339A15;005056AB7BFC1FD0B08E9D222B337A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B33BA15;005056AB7BFC1FD0B08E9D222B36DA15;1;;AVR;;;;;;;;3.199;KG;09. Sep;M3;399;KG;99;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B339A15;005056AB7BFC1FD0B08E9D222B337A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP001;1;HB-FT-035;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07561CEC2FA14;HBESP001;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B373A15;005056AB7BFC1FD0B08E9D222B371A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B375A15;005056AB7BFC1FD0B08E9D222B3B7A15;1;;AVR;;;;;;;;3.328;KG;09. Jun;M3;528;KG;115;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B373A15;005056AB7BFC1FD0B08E9D222B371A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP002;1;HB-FT-043;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07DE42DED5A14;HBESP002;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B3BDA15;005056AB7BFC1FD0B08E9D222B3BBA15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B3BFA15;005056AB7BFC1FD0B08E9D222B3F1A15;1;;AVR;;;;;;;;3.221;KG;09. Jun;M3;421;KG;102;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B3BDA15;005056AB7BFC1FD0B08E9D222B3BBA15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP002;1;HB-FT-043;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07DE42DED5A14;HBESP002;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B3F7A15;005056AB7BFC1FD0B08E9D222B3F5A15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B3F9A15;005056AB7BFC1FD0B08E9D222B41BA15;1;;AVR;;;;;;;;3.156;KG;09. Jul;M3;356;KG;47;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B3F7A15;005056AB7BFC1FD0B08E9D222B3F5A15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP002;1;HB-FT-043;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07DE42DED5A14;HBESP002;0;;2;0;;;0;;0;;;,
005056AB7BFC1FD0B08E9D222B421A15;005056AB7BFC1FD0B08E9D222B41FA15;1000000;;;00000000000000000000000000000000;;005056AB7BFC1FD0B08E9D222B423A15;005056AB7BFC1FD0B08E9D222B44DA15;1;;AVR;;;;;;;;3.143;KG;08. Sep;M3;343;KG;65;PC;0;;0;;2.800;KG;0;;0;;;0;;0;;0;TEU;0;;0;;0;0;0;;;0;;0;;0;;;;;;;;;;;;;;;00000000000000000000000000000000;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;01;1;;0;;;;;;00000000000000000000000000000000;0;0;0;;0;00000000000000000000000000000000;;;;;;;;;;;0;;0;;;;;;0;0;0;0;;;;;;0;0;0;0;;;;10;;;;00;00;05;05;;;;;;;;;;;00000000000000000000000000000000;00000000000000000000000000000000;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;005056AB7BFC1FD0B08E9D222B421A15;005056AB7BFC1FD0B08E9D222B41FA15;TOR;00000000000000000000000000000000;00000000000000000000000000000000;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;00000000000000000000000000000000;0;;;0;;;;;;00000000000000000000000000000000;;00000000000000000000000000000000;;;;;;;;;;0;0;0;;;;;;;;;;00000000000000000000000000000000;HBESP002;1;HB-FT-043;R;S;;ZFT005;DE;0;;2.800;KG;1.140;KG;0;;00000000000000000000000000000000;-1;;;;;;;1.140;KG;10;M3;0;;0;;0;;0;;0;;0;;0;;0;0;0;;0;;ESPRINTER;LKW;;;;;;0;;;00000000000000000000000000000000;0;;;;;0;;1;0;0;0;0;0;00000000000000000000000000000000;;;0;;;;;;;;;;00000000000000000000000000000000;;;00000000000000000000000000000000;;0;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;;;;;;;;;;005056AB7BFC1FD0AEE07DE42DED5A14;HBESP002;0;;2;0;;;0;;0;;;,
