KEY;Document;Document Category;Document Type;Means of Transport;Gross Volume;Gross Volume UoM;Net Weight;Net Weight UoM;Quantity;Quantity UoM;Tare Weight;Tare Weight UoM;Calculated CO₂ Emissions;Calculated CO₂ Emissions UoM;Total Distance;Total Net Duration,
005056AB7BFC1FD0AFF7D6AD280F7A14;6100002661;TO;ZFOM;ZFT004;41;M3;1.804;KG;356;PC;10.000;KG;25.742.015.068.933.300;KG;488.360.487;06:58
005056AB7BFC1FD0AFF7D6AD281D9A14;6100002662;TO;ZFOM;ZFT004;43.2;M3;1.899;KG;393;PC;0;KG;8.371.719.886.504.160;KG;154.114.270;02:12
005056AB7BFC1FD0AFF7D6AD282BBA14;6100002663;TO;ZFOM;ZFT004;42.5;M3;1.664;KG;449;PC;0;KG;7.834.339.846.833.330;KG;144.542.350;02:03
005056AB7BFC1FD0AFF7D6AD2838DA14;6100002664;TO;ZFOM;ZFT004;43.3;M3;2.173;KG;486;PC;0;KG;6.186.289.758.770.830;KG;112.924.160;01:36
005056AB7BFC1FD0AFF7D6AD2846FA14;6100002665;TO;ZFOM;ZFT004;41.6;M3;1.715;KG;398;PC;0;KG;7.732.667.238.525.000;KG;145.140.945;02:04
005056AB7BFC1FD0AFF7D6AD28559A14;6100002666;TO;ZFOM;ZFT004;19. Jul;M3;770;KG;158;PC;0;KG;5.354.711.480.058.330;KG;103.597.925;01:28
005056AB7BFC1FD0AFF7D6AD285BBA14;6100002667;TO;ZFOM;ZFT004;43;M3;2.020;KG;468;PC;0;KG;1.032.058.512.604.160;KG;18.822.210;00:16
005056AB7BFC1FD0AFF7D6AD286B5A14;6100002668;TO;ZFOM;ZFT004;42.6;M3;1.936;KG;467;PC;0;KG;681.835.894.174.998;KG;12.855.396;00:11
005056AB7BFC1FD0AFF7D6AD2879FA14;6100002669;TO;ZFOM;ZFT004;43.2;M3;1.758;KG;451;PC;0;KG;992.831.805.320.833;KG;18.665.746;00:15
005056AB7BFC1FD0AFF7D6AD28859A14;6100002670;TO;ZFOM;ZFT004;43;M3;1.760;KG;452;PC;0;KG;4.039.990.420.154.160;KG;75.306.169;01:04
005056AB7BFC1FD0AFF7D6AD2892BA14;6100002671;TO;ZFOM;ZFT004;36.6;M3;1.938;KG;422;PC;0;KG;6.586.917.204.033.330;KG;121.851.527;01:44
005056AB7BFC1FD0AFF7D6AD28A15A14;6100002672;TO;ZFOM;ZFT004;41.1;M3;1.915;KG;429;PC;0;KG;3.908.933.717.141.660;KG;72.451.073;01:02
005056AB7BFC1FD0AFF7D6AD28ADFA14;6100002673;TO;ZFOM;ZFT004;37.4;M3;1.539;KG;370;PC;0;KG;3.811.873.972.775;KG;71.029.204;01:00
005056AB7BFC1FD0AFF7D6AD28B81A14;6100002674;TO;ZFOM;ZFT004;33.8;M3;1.444;KG;288;PC;0;KG;2.438.375.368.008.330;KG;46.150.286;00:39
005056AB7BFC1FD0AFF7D6AD28C3BA14;6100002675;TO;ZFOM;ZFT004;41;M3;1.803;KG;381;PC;0;KG;2.322.784.558.133.330;KG;43.114.437;00:36
005056AB7BFC1FD0AFF7D6AD28CF5A14;6100002676;TO;ZFOM;ZFT004;42.6;M3;1.930;KG;422;PC;0;KG;519.677.688.379.167;KG;9.644.915;00:08
005056AB7BFC1FD0AFF7D6AD28DC7A14;6100002677;TO;ZFOM;ZFT004;42.8;M3;2.049;KG;439;PC;0;KG;369.260.802.825;KG;6.900.170;00:05
005056AB7BFC1FD0AFF7D6AD28EB1A14;6100002678;TO;ZFOM;ZFT004;43.1;M3;1.898;KG;423;PC;0;KG;1.264.030.095.141.660;KG;23.104.982;00:19
005056AB7BFC1FD0AFF7D6AD28F83A14;6100002679;TO;ZFOM;ZFT004;43.2;M3;1.868;KG;389;PC;0;KG;736.042.080.795.832;KG;13.820.790;00:11
005056AB7BFC1FD0AFF7D6AD29065A14;6100002680;TO;ZFOM;ZFT004;42.6;M3;1.874;KG;461;PC;0;KG;2.033.574.107.495.830;KG;37.934.809;00:32
005056AB7BFC1FD0AFF7D6AD2915FA14;6100002681;TO;ZFOM;ZFT004;34.6;M3;1.315;KG;347;PC;10.000;KG;192.761.543.655;KG;34.012.568;00:29
005056AB7BFC1FD0AFF7D6AD29209A14;6100002682;TO;ZFOM;ZFT004;32.1;M3;1.418;KG;328;PC;10.000;KG;3.495.413.882.875;KG;5.841.256;00:04
005056AB7BFC1FD0AFF7D6AD292A3A14;6100002683;TO;ZFOM;ZFT004;18. Jun;M3;700;KG;133;PC;10.000;KG;185.539.110.975;KG;3.444.197;00:02
