KEY;PARENT_KEY;ROOT_KEY;TO Stop Key;Successor;Stage Type;Stage Category;Error on Node Instance;Decimal Value;Duration;Means of Transport;Transportation Mode;Transportation Mode Category;Not Relevant for Planning;Relevant for ADR DG Exemption;No ADR Exemption;Planning Block;Execution Block;Predecessor Doc. Block;Predecessor Doc. Block;Shipping Type;MTr from Transportation Proposal;Carrier Party BP GUID;Carrier;SCAC;Airline Code;AWB Prefix;Transportation Mode;Transportation Mode Category;Preferred Equipment Group;Preferred Equipment Type;Plan. and Exec. Org.;Plan. and Exec. Group;Agrmt Prtnr Function;Role Code of Other Agreement Party;Voyage;Airline Code/Flight Number;Vessel;IMO Ship Identification Number;Country/Region Key;Schedule Key;Aircraft Type;Flight Number;Space Allocation Action Code;Space Allocation Advice Code;Origin of Entry;Allotment ID;Successor Category of Stop;Order Relationship;Person Responsible;Planning Status;Organization Interaction Status;Org. Interaction Requested By;Rejection Reason Code;Customs Activity;Business Partner;Invoicing Carrier;SCAC;Stage Invoicing Carrier Level;Agreement;Agreement Item No.;NodeID;NodeID;Bill-To Party;Bill-To Party;External Reference Number;Company Code Paying the Trp. Service;Company Org. Paying the Trp. Service;External Planning Relevance;Maximum Utilization;Maximum Utilization;Maximum Utilization;Maximum Utilization;Maximum Utilization;Driver Assignment Status;Calculated CO₂ Emissions;Calculated CO₂ Emissions UoM;Allocation Method for CO₂ Emissions;Dummy function in length 1;Lenkzeitpause;Data Aging Filter,
005056AB7BFC1FD0AFF7D6AD28101A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD280FDA14;005056AB7BFC1FD0AFF7D6AD280FFA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28103A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD280FBA14;005056AB7BFC1FD0AFF7D6AD280FDA14;10;;;;44.377.627;00:38;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;94.62;37.58;94.62;0;0;N;2.552.453.179.616.660;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28109A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28105A14;005056AB7BFC1FD0AFF7D6AD28107A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2810BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD280FFA14;005056AB7BFC1FD0AFF7D6AD28105A14;20;;;;1.332.959;00:01;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;92.31;36.81;92.31;0;0;N;0.764618606375;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28111A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2810DA14;005056AB7BFC1FD0AFF7D6AD2810FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28113A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28107A14;005056AB7BFC1FD0AFF7D6AD2810DA14;30;;;;0.051898;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;89.55;35.67;89.55;0;0;N;0.02965105733333;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28119A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28115A14;005056AB7BFC1FD0AFF7D6AD28117A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2811BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2810FA14;005056AB7BFC1FD0AFF7D6AD28115A14;40;;;;0.147179;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;86.08;34.10;86.08;0;0;N;0.08362833429167;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28121A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2811DA14;005056AB7BFC1FD0AFF7D6AD2811FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28123A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28117A14;005056AB7BFC1FD0AFF7D6AD2811DA14;50;;;;0.129317;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;85.16;33.88;85.16;0;0;N;0.07341972675;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28129A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28125A14;005056AB7BFC1FD0AFF7D6AD28127A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2812BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2811FA14;005056AB7BFC1FD0AFF7D6AD28125A14;60;;;;0.578415;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;77.78;31.54;77.78;0;0;N;0.32569584625;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28131A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2812DA14;005056AB7BFC1FD0AFF7D6AD2812FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28133A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28127A14;005056AB7BFC1FD0AFF7D6AD2812DA14;70;;;;0.831103;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;72.93;29.75;72.93;0;0;N;0.4650021285;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28139A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28135A14;005056AB7BFC1FD0AFF7D6AD28137A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2813BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2812FA14;005056AB7BFC1FD0AFF7D6AD28135A14;80;;;;1.429.223;00:01;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;66.24;26.85;66.24;0;0;N;0.79137268529167;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28141A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2813DA14;005056AB7BFC1FD0AFF7D6AD2813FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28143A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28137A14;005056AB7BFC1FD0AFF7D6AD2813DA14;90;;;;1.230.501;00:01;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;63.70;25.71;63.70;0;0;N;0.67851875975;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28149A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28145A14;005056AB7BFC1FD0AFF7D6AD28147A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2814BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2813FA14;005056AB7BFC1FD0AFF7D6AD28145A14;100;;;;0.857844;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;61.62;24.94;61.62;0;0;N;0.4717069695;KG;DIST_WT;;;,
